pixel	correction
955	1.003435
956	0.991451
957	0.994606
958	0.995686
959	0.99942
960	1.037379
961	1.023318
962	1.037037
963	1.025088
964	1.035562
965	1.019879
966	1.015621
967	1.035201
968	1.023618
969	1.019748
970	1.027376
971	1.033444
972	1.026989
973	1.018276
974	1.020577
975	1.032594
976	1.013188
977	1.019956
978	1.01401
979	1.00926
980	1.014491
981	1.013024
982	1.009026
983	1.020033
984	1.005974
985	1.003266
986	1.005504
987	1.008372
988	1.001444
989	1.004522
990	1.005256
991	1.007946
992	1.012034
993	1.010881
994	1.00755
995	1.00761
996	1.013504
997	1.026682
998	1.024021
999	1.013317
1000	1.003078
1001	1.01111
1002	1.00649
1003	1.007177
1004	1.020696
1005	1.017901
1006	1.012417
1007	1.01134
1008	1.001314
1009	1.005102
1010	1.005987
1011	1.010015
1012	1.008971
1013	1.010469
1014	1.013443
1015	1.015773
1016	1.00141
1017	1.001889
1018	0.997848
1019	0.997753
1020	1.008377
1021	1.005048
1022	1.006733
1023	1.004929
1024	1.010624
1025	1.017097
1026	1.01507
1027	1.020151
1028	1.015818
1029	1.022361
1030	1.019695
1031	1.011505
1032	1.020672
1033	1.019304
1034	1.014714
1035	1.016117
1036	1.015032
1037	1.020685
1038	1.022324
1039	1.016621
1040	1.007158
1041	1.011766
1042	1.01779
1043	1.013265
1044	1.016695
1045	1.00762
1046	1.013496
1047	1.011662
1048	0.995572
1049	0.998873
1050	1.006731
1051	1.001533
1052	1.007258
1053	1.010346
1054	0.998946
1055	1.003238
1056	1.025029
1057	1.023503
1058	1.022059
1059	1.023968
1060	1.018312
1061	1.009115
1062	1.012515
1063	1.016575
1064	1.023834
1065	1.025277
1066	1.024693
1067	1.02385
1068	1.012409
1069	1.009414
1070	1.017657
1071	1.015202
1072	1.00977
1073	1.001687
1074	1.008779
1075	1.000066
1076	1.009358
1077	1.011963
1078	1.001107
1079	1.004931
1080	1.016736
1081	1.01635
1082	1.014777
1083	1.01583
1084	1.021206
1085	1.018752
1086	1.019594
1087	1.017418
1088	0.971068
1089	0.97214
1090	0.969871
1091	0.971592
1092	0.969898
1093	0.971412
1094	0.973171
1095	0.97149
1096	0.970868
1097	0.972458
1098	0.970502
1099	0.968743
1100	0.971018
1101	0.972874
1102	0.97078
1103	0.968964
1104	0.989639
1105	0.978257
1106	0.979183
1107	0.988604
1108	0.97874
1109	0.98989
1110	0.989169
1111	0.977824
1112	1.008203
1113	1.002394
1114	0.997549
1115	1.001022
1116	1.009012
1117	1.000397
1118	1.011488
1119	1.002527
1120	0.97495
1121	0.976637
1122	0.981571
1123	0.979605
1124	0.980923
1125	0.981249
1126	0.982893
1127	0.979459
1128	0.977103
1129	0.974661
1130	0.978098
1131	0.974407
1132	0.986
1133	0.988712
1134	0.983438
1135	0.98578
1136	0.988969
1137	0.989832
1138	0.986827
1139	0.98735
1140	0.986612
1141	0.986771
1142	0.987982
1143	0.989249
1144	0.995282
1145	0.989858
1146	1.001561
1147	0.993432
1148	0.98102
1149	0.987829
1150	0.983942
1151	0.9867
1152	0.976289
1153	0.972863
1154	0.975579
1155	0.971035
1156	0.979765
1157	0.982572
1158	0.981941
1159	0.979534
1160	0.96882
1161	0.966579
1162	0.972564
1163	0.974333
1164	0.977056
1165	0.978881
1166	0.981567
1167	0.978985
1168	0.972075
1169	0.974555
1170	0.975658
1171	0.973057
1172	0.964811
1173	0.968774
1174	0.964011
1175	0.970598
1176	0.96949
1177	0.971851
1178	0.971751
1179	0.970199
1180	0.966002
1181	0.964424
1182	0.967348
1183	0.967516
1184	0.964857
1185	0.961977
1186	0.961594
1187	0.964807
1188	0.971191
1189	0.975237
1190	0.975528
1191	0.972184
1192	0.970193
1193	0.96792
1194	0.967978
1195	0.970443
1196	0.974113
1197	0.971671
1198	0.968742
1199	0.965707
1200	0.972184
1201	0.975835
1202	0.968169
1203	0.973189
1204	0.96465
1205	0.963789
1206	0.97046
1207	0.969899
1208	0.962663
1209	0.963943
1210	0.966125
1211	0.968351
1212	0.960194
1213	0.960398
1214	0.959716
1215	0.960516
1216	0.979807
1217	0.97948
1218	0.976574
1219	0.97439
1220	0.976971
1221	0.976494
1222	0.976795
1223	0.978592
1224	0.972199
1225	0.973027
1226	0.974117
1227	0.974587
1228	0.972925
1229	0.970932
1230	0.974269
1231	0.974898
1232	0.972121
1233	0.971771
1234	0.968468
1235	0.968828
1236	0.974796
1237	0.97473
1238	0.975408
1239	0.974421
1240	0.974554
1241	0.975255
1242	0.971906
1243	0.973587
1244	0.971177
1245	0.974012
1246	0.972956
